Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
,Yemen,Medium,,,800,95%,45%,22%,47%,27%,35%,18%,37%,10%,11%,,,81%,19%,0%,0%,41705,33383442,726,581374
,Zambia,Informal,,,392526,43%,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1433,562548399,579,227134025
,Zambia,Micro,,,114920,,,,,,,,,,,,,,,,,3863,443979229,669,76839742
,Zambia,Very Small,,,12769,87%,20%,5%,23%,29%,23%,53%,15%,9%,11%,14.64,32%,69%,17%,14%,0%,6405,81788051,455,5815730
,Zambia,Small,,,37744,97%,42%,14%,45%,23%,28%,27%,26%,19%,12%,20.8,24%,67%,18%,11%,4%,18651,703965018,467,17628442
,Zambia,Medium,,,10313,94%,58%,33%,68%,18%,18%,13%,38%,30%,12%,25.86,8%,79%,9%,9%,3%,63680,656709376,3798,39163141
,Zimbabwe,Informal,,,50550,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1026,51877979,451,22820272
,Zimbabwe,Micro,,,115854,,,,,,,,,,,,,,,,,2811,325647958,486,56360080
,Zimbabwe,Very Small,,,12873,,,,,,,,,,,,,,,,,5157,66382722,443,5700084
,Zimbabwe,Small,,,38051,,,,,,,,,,,,,,,,,16698,635380867,893,33989876
,Zimbabwe,Medium,,,10396,,,,,,,,,,,,,,,,,65771,683785244,1905,19802931
Central Asia and Eastern Europe,,Informal,,,9138342,42%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,7496,68503136613,10835,99017076379
Central Asia and Eastern Europe,,Micro,,,7998295,74%,45%,40%,53%,23%,31%,16%,36%,18%,13%,,10%,65%,25%,0%,10%,14924,119366593872,11367,90916480013
Central Asia and Eastern Europe,,Very Small,,,1999574,90%,41%,36%,53%,26%,28%,19%,37%,16%,17%,40.08,20%,71%,27%,2%,0%,29887,59761294758,6968,13932128212
,Kuwait,,,SME,14495,,,,,,,,,,,,,,,,,684265,9918592558,24173,350400168
Central Asia and Eastern Europe,,Small,,,913496,90%,38%,36%,52%,32%,24%,24%,39%,13%,14%,40.54,19%,69%,24%,5%,1%,61156,55865526949,14476,13223842985
Central Asia and Eastern Europe,,Medium,,,143780,92%,52%,55%,68%,26%,19%,13%,48%,20%,13%,43.85,15%,78%,20%,2%,1%,378592,54433976139,69267,9959219760
East Asia,,Informal,,,152525546,29%,7%,9%,11%,,48%,41%,8%,3%,55%,,81%,0%,100%,0%,0%,2808,428365627433,15037,2293541614766
East Asia,,Micro,,,23247306,,12%,12%,12%,19%,44%,44%,12%,0%,,,,,,,,4758,110599754583,,
East Asia,,Very Small,,,9963131,51%,6%,16%,17%,17%,30%,53%,11%,6%,19%,,95%,37%,45%,16%,2%,8333,83025567124,19417,193458346007
East Asia,,Small,,,2418386,88%,15%,18%,19%,17%,42%,39%,13%,6%,17%,,95%,55%,42%,2%,1%,28447,68795790424,24918,60261520801
East Asia,,Medium,,,74329,94%,36%,39%,44%,16%,29%,26%,27%,17%,15%,,76%,62%,34%,3%,1%,211245,15701647950,74315,5523735504
Latin America,,Informal,,,37030664,36%,12%,13%,13%,30%,47%,40%,9%,4%,4%,,,33%,3%,51%,13%,6115,226424368371,3612,133749258242
Latin America,,Micro,,,12039521,94%,64%,50%,72%,42%,13%,15%,53%,19%,15%,,27%,63%,35%,2%,0%,13133,158116934542,451,5424077606
Latin America,,Very Small,,,2124621,77%,50%,36%,57%,31%,26%,17%,44%,14%,14%,19.23,18%,76%,17%,6%,1%,18735,39803923370,1673,3554928683
Latin America,,Small,,,1089719,90%,65%,53%,73%,33%,14%,12%,59%,14%,10%,19.31,21%,77%,19%,3%,1%,83312,90786515334,3910,4261110337
Latin America,,Medium,,,193330,90%,74%,62%,81%,28%,12%,7%,64%,17%,10%,24.08,14%,86%,12%,2%,1%,541570,104701450573,22386,4327793698
MENA,,Informal,,,14314131,37%,7%,9%,11%,,48%,41%,8%,3%,,84,0%,,,,,2907,41604687207,1345,19253464462
MENA,,Micro,,,4699038,83%,10%,38%,45%,48%,31%,24%,34%,10%,,45.89,11%,,,,,4965,23330691356,1453,6827887262
MENA,,Very Small,,,829242,75%,37%,19%,42%,42%,34%,24%,32%,10%,15%,43.02,24%,65%,15%,20%,0%,5864,4862311611,1714,1420909457
MENA,,Small,,,854665,76%,32%,26%,40%,42%,31%,29%,34%,6%,20%,39.13,41%,41%,59%,0%,0%,67725,57882294800,2214,1892022770
MENA,,Medium,,,440237,88%,64%,54%,70%,39%,14%,16%,61%,9%,15%,38.92,25%,42%,58%,0%,0%,525634,231403807746,5762,2536807575
,Iran,,,,4475981,,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,8275,37038077552,10213,45711354002
South Asia,,Informal,,,68584300,43%,7%,9%,14%,23%,48%,41%,7%,4%,17%,38.13,37%,0%,0%,0%,100%,2452,168175314808,4396,301479284963
South Asia,,Micro,,,6530842,62%,12%,6%,15%,11%,54%,31%,9%,6%,16%,37.06,8%,100%,0%,0%,0%,3690,24097440278,4129,26964941646
South Asia,,Very Small,,,2176947,66%,15%,9%,15%,18%,52%,33%,9%,7%,17%,27.36,4%,97%,2%,0%,0%,4896,10658748742,4088,8899794510
South Asia,,Small,,,198645,90%,33%,28%,35%,22%,45%,21%,19%,15%,14%,41.22,7%,85%,7%,4%,5%,14640,2908248542,5404,1073559558
South Asia,,Medium,,,9956,99%,51%,44%,53%,16%,30%,17%,30%,23%,15%,40.79,3%,89%,9%,1%,0%,132322,1317362505,3841,38239857
Sub-Saharan Africa,,Informal,,,27673258,38%,7%,7%,7%,49%,46%,47%,5%,2%,,,,22%,0%,33%,45%,1142,31611623024,846,23419868805
Sub-Saharan Africa,,Micro,,,8629020,76%,19%,26%,36%,52%,22%,42%,26%,10%,19%,26.72,22%,59%,15%,21%,5%,2301,19851099805,783,6752793630
Sub-Saharan Africa,,Very Small,,,958780,82%,15%,14%,22%,49%,18%,60%,17%,6%,21%,20.63,41%,61%,15%,20%,3%,4319,4140559269,472,452773172
,Cambodia,,na,SME,0,,,,,,,,,,,,,,,,,,0,,0
Sub-Saharan Africa,,Small,,,2306399,89%,24%,16%,29%,48%,18%,52%,22%,7%,14%,22.47,25%,75%,12%,11%,1%,15421,35566740231,823,1897408534
Sub-Saharan Africa,,Medium,,,630162,97%,35%,21%,39%,43%,34%,26%,28%,11%,19%,27.63,16%,72%,19%,7%,1%,64076,40378012596,1917,1207799886
,,Informal,,,309266240,35%,8%,9%,12%,30%,47%,41%,8%,4%,38%,46.05,63%,6%,54%,10%,30%,3119,964684757456,9282,2870460567617
,,Micro,,,63144022,80%,27%,26%,35%,30%,34%,32%,26%,9%,16%,34.66,17%,69%,21%,6%,3%,7211,455362514437,3431,216648004724
,,Very Small,,,18052295,63%,18%,20%,27%,22%,31%,42%,18%,9%,18%,29.18,61%,55%,31%,12%,1%,11204,202252404875,12282,221718880041
,,Small,,,7781310,87%,30%,26%,36%,33%,28%,36%,28%,9%,15%,28.25,47%,65%,29%,5%,1%,40071,311805116278,10616,82609464986
,,Medium,,,1491793,93%,50%,40%,57%,37%,24%,19%,45%,13%,16%,32.39,21%,65%,30%,4%,1%,300267,447936257509,15816,23593596279
,Afghanistan,,,,1312589,39%,8%,8%,15%,30%,46%,40%,10%,4%,5%,,,2%,2%,0%,96%,1854,2433786428,2572,3376276162
,Albania,,,,134830,57%,24%,17%,27%,17%,40%,33%,18%,8%,23%,40.42,6%,100%,0%,0%,0%,7469,1006984120,3121,420762022
,Algeria,,,,1712733,49%,13%,12%,17%,49%,45%,39%,13%,4%,15%,36.17,37%,32%,65%,2%,0%,9567,16384940930,1169,2001650017
,Angola,,,,844992,64%,5%,5%,6%,42%,32%,62%,4%,1%,8%,,,41%,4%,1%,54%,11088,9368997738,1117,943884246
,Argentina,,,,2133094,22%,16%,11%,18%,34%,48%,34%,15%,3%,5%,,,35%,9%,53%,3%,31236,66630023667,7042,15021052526
,Armenia,,,,196388,64%,24%,30%,42%,37%,30%,28%,33%,9%,16%,,5%,83%,4%,2%,11%,10683,2098075333,3208,630011720
,Australia,,,,1233371,,,,,,,,,,,,,,,,,,,,
,Austria,,,,396581,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,,,,367247,38%,9%,11%,14%,32%,45%,41%,10%,4%,16%,,46%,94%,2%,4%,0%,5367,1971195591,3272,1201603303
,Bahamas,,,,27810,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,40177,1117295800,10992,305694928
,Bahrain,,,,56506,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,53265,3009820100,2926,165349903
,Bangladesh,,,,10627090,92%,7%,9%,14%,30%,47%,40%,10%,4%,,,,,,,,979,10408955221,1204,12798692419
,Barbados,,,,20002,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,26735,534753937,5866,117331696
,Belarus,,,,277535,55%,14%,18%,24%,40%,40%,36%,17%,6%,13%,,18%,57%,43%,0%,0%,15099,4190608695,4815,1336202450
,Belgium,,,,624311,,,,,,,,,,,,,,,,,,,,
,Belize,,,,36700,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,31100,1141378893,4621,169601946
,Benin,,,,676775,97%,15%,13%,16%,68%,42%,41%,14%,2%,15%,,,72%,13%,14%,1%,3028,2049025935,577,390504508
,Bhutan,,,,34936,44%,8%,10%,15%,30%,46%,39%,11%,4%,24%,,,,,,,2656,92783866,3232,112912049
,Bolivia,,,,1171777,51%,16%,15%,17%,30%,44%,38%,13%,5%,14%,,,79%,0%,17%,5%,6995,8196414270,1846,2162849484
,Bosnia and Herzegovina,,,,242261,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,20593,4988942644,9291,2250748097
,Botswana,,,,99352,40%,8%,8%,11%,31%,59%,31%,8%,3%,18%,,,20%,1%,1%,78%,11540,1146474691,2286,227070139
,Brazil,,,,16030344,61%,29%,23%,30%,42%,38%,32%,21%,9%,12%,,24%,42%,57%,1%,0%,14811,237429449127,4171,66857249508
,Brunei Darussalam,,,,63127,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,135460,8551105846,182400,11514267162
,Bulgaria,,,,515991,65%,9%,16%,19%,22%,44%,38%,14%,5%,12%,,33%,96%,4%,0%,0%,6230,3214480550,1402,723672696
,Burkina Faso,,,,864128,40%,9%,7%,9%,67%,16%,75%,8%,2%,15%,,,8%,1%,0%,92%,4786,4135737080,577,498327148
,Burma (Myanmar),,,,4750360,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2327,11054536628,8455,40165432925
,Burundi,,,,374485,49%,10%,11%,11%,51%,47%,42%,8%,3%,15%,38.33,33%,85%,2%,3%,10%,1638,613382987,216,80708040
,Cambodia,,,,1203568,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2045,2461845745,8452,10172622610
,Cameroon,,,,778731,43%,17%,16%,17%,53%,27%,56%,12%,5%,20%,,,1%,0%,0%,99%,688,536070006,190,147681383
,Canada,,,,1711356,,,,,,,,,,,,,,,,,,,,
,Cape Verde,,,,24005,44%,10%,11%,13%,37%,45%,43%,9%,3%,17%,,,90%,9%,1%,0%,3990,95788388,373,8956083
,Central African Republic,,,,127226,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,5569,708478994,589,74902167
,Chad,,,,710490,93%,13%,8%,13%,48%,46%,40%,11%,3%,15%,,,95%,5%,0%,0%,3482,2474017265,601,426898488
,Chile,,,,1870040,53%,23%,22%,25%,23%,40%,35%,18%,7%,12%,,,94%,5%,0%,0%,21171,39591294157,2908,5437966384
,China,,,,103547974,,8%,9%,11%,18%,48%,41%,8%,3%,,,100%,,,,,3263,337886119746,15817,1637847310387
,Colombia,,,,4289790,65%,31%,31%,35%,62%,32%,33%,30%,5%,18%,,,94%,0%,6%,0%,8314,35666663052,1384,5936687302
,Comoros,,,,28807,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,4476,128951837,637,18353304
,"Congo, Dem. Rep.",,,,3000683,33%,8%,8%,9%,64%,36%,55%,7%,2%,10%,,,35%,1%,54%,10%,3526,10580542134,535,1605279035
,"Congo, Rep.",,,,172839,86%,13%,8%,13%,50%,45%,42%,11%,2%,,10.74,34%,,,,,11894,2055723919,1201,207600092
,Costa Rica,,,,307505,46%,14%,17%,18%,41%,45%,38%,13%,4%,18%,,,31%,59%,9%,2%,14070,4326567417,2484,763692510
,Cote d'Ivoire,,,,1141684,43%,8%,5%,8%,58%,19%,73%,7%,1%,13%,27.03,30%,68%,1%,30%,1%,5253,5996938214,716,817877545
,Croatia,,,,278167,56%,13%,15%,20%,20%,43%,37%,13%,6%,12%,,25%,78%,16%,5%,0%,21421,5958481030,9822,2732084525
,Cuba,,,,1038225,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,21160,21968543989,5789,6010648627
,Czech Republic,,,,1099857,72%,29%,21%,34%,21%,40%,26%,29%,5%,12%,,18%,70%,28%,0%,1%,34021,37418685937,15583,17138806551
,Democratic People's Republic of Korea,,,,2822944,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,7903,22310147113,23889,67438082156
,Denmark,,,,295204,,,,,,,,,,,,,,,,,,,,
,Djibouti,,,,51541,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,4916,253383870,299,15419506
,Dominican Republic,,,,518412,,12%,13%,13%,,47%,40%,9%,4%,,,,,,,,7289,3778469573,3165,1640681788
,Ecuador,,,,1773810,59%,27%,18%,28%,21%,39%,32%,20%,9%,9%,,,85%,1%,14%,0%,15896,28197016881,2123,3766588996
,Egypt,,,,6424010,60%,7%,9%,11%,40%,48%,41%,8%,3%,28%,42.61,100%,,,,,1703,10938615340,2073,13319054114
,El Salvador,,,,635021,41%,15%,15%,16%,32%,45%,39%,12%,4%,19%,,,82%,2%,16%,0%,3950,2508094438,1185,752407484
,Equatorial Guinea,,,,28807,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,41125,1184658120,5853,168608614
,Eritrea,,,,230452,98%,11%,8%,12%,1%,50%,39%,6%,6%,12%,,,0%,87%,0%,13%,2789,642796480,557,128459024
,Estonia,,,,75637,67%,19%,25%,30%,10%,39%,31%,13%,18%,10%,,14%,88%,2%,5%,4%,15828,1197216898,5401,408521958
,Ethiopia,,,,2319072,60%,12%,18%,20%,40%,42%,38%,14%,7%,,23.03,21%,65%,23%,4%,7%,2343,5434070011,321,745261444
,Fiji,,,,77399,53%,10%,10%,14%,4%,48%,39%,9%,4%,20%,,,100%,0%,0%,0%,6091,471426381,16769,1297924499
,Finland,,,,314425,,,,,,,,,,,,,,,,,,,,
,France,,,,3019149,,,,,,,,,,,,,,,,,,,,
,Gabon,,,,67215,88%,9%,8%,9%,22%,49%,42%,7%,3%,,12.97,24%,,,,,26965,1812485224,2030,136430881
,Gambia,,,,76817,37%,10%,8%,10%,37%,47%,43%,7%,3%,16%,8.39,33%,95%,5%,0%,0%,1192,91582044,167,12819632
,Georgia,,,,133802,46%,9%,12%,15%,37%,46%,39%,10%,5%,17%,,14%,94%,6%,0%,0%,6547,876009030,3567,477269983
,Germany,,,,3562236,,,,,,,,,,,,,,,,,,,,
,Ghana,,,,1479310,43%,8%,8%,9%,61%,47%,44%,7%,2%,13%,17.29,33%,58%,32%,9%,2%,3260,4821954240,616,911134080
,Greece,,,,1065737,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,53520,57038388400,26819,28582249339
,Grenada,,,,9270,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,13706,127052086,3750,34761769
,Guatemala,,,,1059789,11%,9%,9%,10%,21%,57%,33%,4%,6%,16%,,,59%,0%,24%,17%,5250,5563759585,2756,2921047655
,Guinea,,,,629779,27%,7%,7%,8%,59%,47%,45%,5%,2%,20%,10.74,53%,44%,0%,56%,0%,1449,912850514,243,152809302
,Guinea-Bissau,,,,72016,30%,7%,7%,7%,81%,45%,48%,5%,2%,12%,29.53,100%,69%,0%,31%,0%,1561,112417902,300,21626612
,Guyana,,,,74257,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,5719,424692489,1563,116043338
,Haiti,,,,899177,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,4286,3853494777,1173,1054325817
,Honduras,,,,743726,48%,17%,23%,25%,18%,38%,36%,18%,8%,20%,,,92%,6%,1%,1%,9605,7143166816,2254,1676455946
,Hong Kong,,,,791294,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,42253,33434446387,137880,109103468439
,Hungary,,,,761241,68%,24%,23%,31%,18%,43%,26%,22%,9%,13%,,19%,87%,12%,0%,0%,20039,15254190450,7575,5766500871
,Iceland,,,,31284,,,,,,,,,,,,,,,,,,,,
,India,,,,49634092,46%,7%,8%,14%,23%,48%,41%,6%,5%,17%,38.22,36%,,,,,2826,140282004343,5269,261516515820
,Indonesia,,,,41115822,27%,7%,10%,12%,15%,43%,45%,8%,4%,19%,,,34%,46%,18%,2%,670,27538036719,752,30938535608
,Iraq,,,,1900575,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3905,7421318827,238,451619403
,Ireland,,,,179384,,,,,,,,,,,,,,,,,,,,
,Italy,,,,5704217,,,,,,,,,,,,,,,,,,,,
,Jamaica,,,,478778,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,11115,5321638356,2634,1260967468
,Japan,,,,8140080,,,,,,,,,,,,,,,,,,,,
,Jordan,,,,408537,51%,9%,10%,13%,34%,50%,37%,9%,4%,26%,30.05,5%,99%,1%,0%,0%,4034,1648236058,307,125267429
,Kazakhstan,,,,750414,51%,9%,11%,14%,27%,46%,40%,10%,4%,22%,,27%,98%,2%,0%,0%,14843,11138364784,7201,5403833932
,Kenya,,,,2303635,46%,8%,9%,9%,52%,48%,43%,7%,2%,15%,,,,,,,2734,6297777092,1154,2658381736
,Kuwait,,,,161826,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,86888,14060748943,5374,869586625
,Kyrgyz Republic,,,,167331,30%,9%,10%,14%,27%,46%,40%,10%,4%,24%,,27%,73%,16%,10%,1%,1710,286106259,1230,205778377
,Laos,,,,522317,40%,7%,9%,12%,28%,48%,40%,8%,3%,52%,,0%,2%,97%,1%,0%,1398,730425902,4571,2387447329
,Latvia,,,,120071,65%,12%,23%,26%,27%,41%,33%,18%,8%,15%,,25%,74%,24%,1%,1%,20615,2475235825,3920,470709437
,Lebanon,,,,168883,44%,8%,11%,14%,48%,46%,39%,10%,4%,,80.31,1%,,,,,6012,1015293914,741,125078379
,Lesotho,,,,96022,91%,12%,10%,13%,23%,48%,40%,8%,5%,,,28%,,,,,3779,362872318,310,29776764
,Liberia,,,,172839,68%,8%,8%,8%,45%,48%,43%,6%,2%,,3.66,2%,,,,,3473,600207113,494,85425565
,Libyan Arab Jamahiriya,,,,399443,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,21046,8406593278,1281,511577621
,Lithuania,,,,210916,65%,9%,21%,23%,25%,44%,33%,16%,7%,10%,,12%,89%,11%,0%,0%,19492,4111208932,6006,1266675662
,Luxembourg,,,,33860,,,,,,,,,,,,,,,,,,,,
,Macedonia (the former Yugoslav Republic of),,,,87672,71%,11%,22%,29%,28%,35%,36%,20%,9%,22%,,19%,78%,21%,1%,0%,9344,819205868,2118,185662618
,Madagascar,,,,893003,18%,10%,8%,11%,44%,27%,62%,8%,3%,18%,20.55,17%,90%,0%,10%,0%,3809,3401455087,710,633718002
,Malawi,,,,1353253,100%,10%,9%,11%,46%,48%,41%,8%,3%,16%,,,89%,5%,5%,0%,801,1084580701,110,148608621
,Malaysia,,,,2625575,57%,12%,13%,16%,12%,46%,38%,10%,7%,,,87%,,,,,7380,19376527855,17930,47077292393
,Maldives,,,,14972,,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,6164,92289263,8110,121433164
,Mali,,,,665193,47%,16%,7%,16%,58%,22%,62%,12%,4%,23%,,,24%,1%,63%,11%,2087,1388310939,221,146936815
,Mauritania,,,,148834,37%,9%,8%,9%,50%,46%,45%,7%,3%,15%,22.22,53%,82%,7%,10%,0%,7203,1072070638,669,99511436
,Mauritius,,,,131478,84%,29%,28%,39%,48%,44%,17%,32%,7%,25%,60.36,20%,70%,29%,1%,0%,4057,533364341,385,50574180
,Mexico,,,,11204405,20%,12%,13%,14%,18%,48%,39%,9%,4%,16%,19.45,21%,90%,8%,1%,1%,5674,63578071287,894,10020400547
,Micronesia,,,,9675,53%,7%,10%,13%,30%,46%,41%,9%,4%,26%,,,53%,30%,0%,17%,3320,32123196,7846,75911634
,Moldova,,,,64700,63%,16%,24%,27%,35%,39%,34%,20%,7%,20%,,19%,83%,14%,3%,0%,8965,580066906,2123,137374633
,Mongolia,,,,251547,32%,8%,11%,14%,38%,46%,40%,11%,4%,21%,,23%,88%,5%,2%,5%,1100,276691764,4107,1033086036
,Montenegro,,,,36116,55%,17%,25%,30%,8%,34%,36%,17%,13%,16%,,17%,77%,9%,9%,5%,25980,938302342,11178,403703318
,Morocco,,,,2130833,49%,13%,11%,17%,36%,45%,38%,12%,4%,14%,51.09,2%,72%,0%,28%,0%,3538,7538552541,4673,9956849957
,Mozambique,,,,536212,33%,7%,7%,7%,52%,50%,43%,5%,2%,14%,17.38,44%,81%,4%,15%,0%,459,246057060,176,94310569
,Namibia,,,,100823,55%,13%,10%,14%,17%,47%,38%,8%,6%,17%,56.6,29%,94%,4%,0%,2%,6607,666127183,855,86241638
,Nepal,,,,1305839,24%,34%,34%,34%,6%,33%,32%,24%,10%,25%,,,1%,0%,0%,99%,922,1203854055,1598,2087074865
,Netherlands,,,,853984,,,,,,,,,,,,,,,,,,,,
,New Zealand,,,,187618,,,,,,,,,,,,,,,,,,,,
,Nicaragua,,,,616359,40%,13%,15%,15%,21%,46%,39%,11%,5%,15%,,,79%,2%,16%,3%,3910,2409891795,1030,634638567
,Niger,,,,676954,97%,16%,12%,16%,49%,44%,39%,12%,4%,18%,,,98%,0%,2%,0%,11800,7987921291,1499,1014686106
,Nigeria,,,,9480996,,8%,7%,8%,,45%,46%,6%,3%,18%,,,,,,,2916,27647507242,294,2787783234
,Norway,,,,339738,,,,,,,,,,,,,,,,,,,,
,Oman,,,,92363,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,15801,1459471409,1472,135948991
,Pakistan,,,,9079836,36%,6%,7%,11%,11%,49%,39%,8%,4%,19%,31.3,0%,100%,0%,0%,0%,1330,12073372608,868,7878666384
,Palestine,,,,257705,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5226,1346836821,318,81960856
,Panama,,,,262944,40%,14%,14%,15%,2%,46%,39%,10%,5%,18%,,,96%,2%,0%,2%,5458,1435189005,2185,574414907
,Papua New Guinea,,,,619192,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2930,1814505124,10595,6560130085
,Paraguay,,,,1139366,44%,19%,18%,22%,27%,42%,36%,14%,7%,10%,,,68%,0%,32%,0%,5576,6353231271,1482,1687972204
,Peru,,,,2371293,28%,27%,34%,36%,31%,28%,35%,22%,14%,16%,,,49%,0%,37%,15%,7387,17515949206,3136,7435567178
,Philippines,,,,3893667,51%,8%,10%,13%,12%,48%,40%,9%,4%,19%,,,91%,1%,8%,0%,3007,11706829306,2535,9868834736
,Poland,,,,2137939,77%,26%,23%,31%,25%,42%,28%,24%,6%,14%,,10%,52%,48%,0%,0%,17814,38084759278,3868,8270253643
,Portugal,,,,1068715,,,,,,,,,,,,,,,,,,,,
,Qatar,,,,59078,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,132476,7826397540,8229,486157408
,Republic of Korea,,,,4643936,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,24564,114071421919,88807,412411823420
,Romania,,,,1111909,30%,13%,14%,18%,41%,45%,37%,13%,4%,27%,,14%,90%,5%,5%,0%,10598,11784267805,11086,12326403559
,Russia,,,,3605142,56%,11%,11%,16%,44%,44%,40%,12%,4%,12%,,27%,70%,24%,5%,1%,13821,49827331645,17886,64483040908
,Rwanda,,,,230774,45%,12%,13%,14%,34%,45%,41%,9%,5%,26%,35.94,14%,95%,2%,2%,0%,1400,323119872,319,73508343
,Saint Lucia,,,,18540,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,13912,257927370,3806,70569574
,Saint Vincent and the Grenadines,,,,9270,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,11591,107449503,3171,29398453
,Samoa,,,,16865,48%,8%,9%,12%,16%,47%,41%,8%,4%,17%,,,97%,0%,0%,3%,6759,113990171,20554,346647412
,Sao Tome and Principe,,,,9602,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,4869,46757394,693,6654831
,Saudi Arabia,,,,1842991,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,128808,237392054926,482,888615616
,Senegal,,,,571330,46%,9%,8%,10%,41%,46%,44%,7%,3%,13%,27.87,44%,63%,1%,34%,2%,4034,2304724917,228,130004097
,Serbia,,,,289814,64%,21%,20%,27%,27%,39%,35%,21%,5%,13%,,26%,95%,4%,0%,1%,14144,4098999062,4650,1347633433
,Sierra Leone,,,,259259,73%,12%,8%,12%,35%,46%,42%,9%,3%,,7.38,24%,,,,,1489,386000578,202,52391598
,Singapore,,,,497975,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,47826,23815911344,158773,79064950612
,Slovakia,,,,174296,10%,16%,15%,22%,17%,43%,35%,16%,6%,17%,,28%,77%,15%,4%,4%,20270,3533042650,33701,5873952014
,Slovenia,,,,148288,67%,26%,30%,36%,14%,36%,28%,24%,13%,11%,,5%,37%,58%,5%,0%,58197,8629844477,21356,3166761073
,Solomon Islands,,,,48374,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2696,130426418,9748,471541390
,Somalia,,,,560509,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3586,2010147536,218,122326186
,South Africa,,,,2213146,50%,10%,9%,10%,15%,48%,41%,6%,4%,13%,31.53,17%,91%,1%,9%,0%,6067,13427568822,7445,16477706705
,Spain,,,,3515804,,,,,,,,,,,,,,,,,,,,
,Sri Lanka,,,,1015354,,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,3479,3531991538,4780,4852895670
,Sudan,,,,1951120,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5820,11355216077,366,714159443
,Suriname,,,,46349,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,12154,563314779,3325,154124334
,Swaziland,,,,57613,55%,10%,10%,11%,34%,49%,40%,8%,3%,18%,42.87,15%,76%,17%,6%,1%,4600,265006707,550,31710502
,Sweden,,,,529067,,,,,,,,,,,,,,,,,,,,
,Switzerland,,,,455000,,,,,,,,,,,,,,,,,,,,
,Syria,,,,824704,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,9466,7806845797,472,388891636
,Tajikistan,,,,298047,46%,9%,13%,17%,27%,43%,40%,12%,5%,18%,,13%,45%,47%,7%,1%,869,258935489,497,148187297
,Tanzania,,,,4256133,45%,7%,8%,8%,45%,46%,46%,5%,2%,27%,17.43,43%,57%,22%,21%,0%,583,2482240054,113,481207031
,Thailand,,,,11378577,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,5788,65863875738,22253,253211720551
,Timor-Leste,,,,93749,41%,7%,9%,11%,20%,48%,41%,8%,4%,46%,,,59%,31%,10%,0%,1419,132985053,4984,467287359
,Togo,,,,302469,97%,15%,10%,16%,47%,45%,40%,12%,4%,16%,,,54%,30%,14%,3%,3827,1157457399,545,164737222
